department,full_name,company_name,email,phone_number,number_of_apartements,number_of_floors,number_of_basements,number_of_parking,number_of_stores,max_occupancy_per_floor,hours_of_activity ,service_level,number_of_elevators,installation_cost,total_cost
Commercial,Kirk Clowton,Avamba,kclowtonjj@stanford.edu,452-984-5795,269,66,2,357,15,,,Standard,1,$17429.54,$181656.72
Commercial,Sven Kears,Kazu,skearsjn@linkedin.com,772-949-8329,377,63,6,263,18,,,Standard,9,$13566.89,$467404.98
Commercial,Dell Peregrine,Zoomcast,dperegrinejp@slideshare.net,901-907-5359,222,74,5,537,8,,,Excelium,12,$15793.21,$2170806.68
Commercial,Wade McElvogue,Skippad,wmcelvoguejq@furl.net,737-940-5450,198,25,4,611,16,,,Premium,14,$12389.99,$321751.39
Commercial,Tiffani Dinsey,Topicware,tdinseyjs@guardian.co.uk,809-954-7529,360,88,6,994,14,,,Excelium,4,$10151.39,$2025389.57
Commercial,Jordain Guinane,Quimm,jguinanejw@ft.com,532-368-7762,267,24,1,33,12,,,Standard,2,$15878.67,$1396429.60
Commercial,Janeczka Pierson,Tazz,jpiersonjy@rambler.ru,999-626-8313,398,90,4,339,19,,,Excelium,16,$8269.94,$189145.23
Commercial,Modesty Cusack,Jayo,mcusackk2@soundcloud.com,762-287-3139,34,32,1,862,10,,,Premium,6,$15607.62,$1215885.31
Commercial,Palmer Brun,Skiptube,pbrunk3@youtu.be,304-141-0115,221,8,7,68,7,,,Premium,8,$14537.61,$2123134.26
Commercial,Glen MacNeill,Rhyzio,gmacneillk7@mysql.com,452-567-2833,205,19,2,960,19,,,Excelium,15,$7014.00,$505991.20
Commercial,Michail Keeling,Agivu,mkeelingka@indiegogo.com,352-810-7824,56,83,2,443,18,,,Standard,18,$16338.85,$2026692.16
Commercial,Shepperd Gounin,Yata,sgouninke@home.pl,798-551-2679,315,22,2,880,12,,,Premium,19,$16754.34,$1143059.75
Commercial,Wash Eastes,Snaptags,weasteski@ehow.com,847-877-6026,333,63,3,306,14,,,Premium,30,$16274.45,$2138384.15
Commercial,Morganica Gulliver,BlogXS,mgulliverkm@163.com,197-469-6218,185,52,2,283,6,,,Premium,17,$15480.83,$1216718.91
Commercial,Blancha Maffucci,Yamia,bmaffuccikq@usda.gov,876-761-2741,334,27,4,248,17,,,Premium,18,$14510.38,$949622.08
Commercial,Wally Ellesworthe,Flashpoint,wellesworthekt@goo.ne.jp,454-427-3511,257,54,9,800,11,,,Premium,30,$15049.06,$210953.33
Commercial,Florentia Zealy,Jabbersphere,fzealyl0@about.me,579-770-7264,158,100,7,512,18,,,Premium,28,$13242.88,$1929343.39
Commercial,Biron Marklund,Bubblemix,bmarklundl3@about.com,494-851-3045,147,40,4,458,11,,,Premium,7,$9897.64,$1742666.03
Commercial,Francesca Scardifeild,Divavu,fscardifeildl4@arstechnica.com,280-181-7324,272,45,3,415,18,,,Standard,19,$17245.74,$177862.34
Commercial,Megan Faircley,Blogspan,mfaircleyl5@mozilla.com,877-908-9205,72,78,9,374,10,,,Standard,28,$15476.94,$847891.72
Commercial,Libbie Coule,Flashdog,lcoulel9@ted.com,443-149-1064,324,28,8,899,18,,,Standard,21,$16058.39,$152915.72
Commercial,Alastair Fairpool,Photospace,afairpoolla@devhub.com,113-974-5846,304,46,2,87,18,,,Excelium,25,$8519.80,$1565336.65
Commercial,Lauralee Hundley,Photobug,lhundleylb@wix.com,362-973-7524,60,39,3,57,20,,,Standard,5,$12267.50,$1005897.19
Commercial,Susi Seviour,Gigabox,sseviourlc@yolasite.com,124-937-7085,297,41,5,672,14,,,Standard,1,$11763.82,$1890988.83
Commercial,Ivan Luckham,Abatz,iluckhamli@businessinsider.com,240-784-8043,219,9,4,893,14,,,Standard,27,$12145.54,$645925.34
Commercial,Loralee Boanas,Realfire,lboanaslj@comsenz.com,106-535-9472,200,49,1,445,16,,,Excelium,9,$15553.67,$846509.40
Commercial,Hammad Kirimaa,Twinte,hkirimaall@scientificamerican.com,597-460-3022,267,52,3,965,13,,,Standard,7,$10462.74,$796772.72
Commercial,Kandace Trotton,Oyondu,ktrottonlq@ycombinator.com,634-501-8910,309,36,6,84,14,,,Standard,19,$8653.01,$1657383.51
Commercial,Rowland Iorizzo,Realbridge,riorizzolr@amazon.de,193-436-9796,38,15,9,625,6,,,Premium,27,$9529.84,$1020946.94
Commercial,Isabelita Rivalant,Wikizz,irivalantlu@linkedin.com,227-425-7598,357,24,9,509,20,,,Premium,6,$16597.96,$1051340.92
Commercial,Henka Tupling,Blogtags,htuplingly@ehow.com,190-643-9368,309,90,4,918,9,,,Premium,11,$10788.16,$1504064.79
Commercial,Pammy Fouldes,Leexo,pfouldeslz@soundcloud.com,489-446-4609,43,62,9,770,19,,,Premium,17,$14260.22,$710686.33
